frame.number,frame.time_epoch,frame.len,frame.cap_len,frame.protocols,_ws.col.protocol,eth.src,eth.dst,eth.type,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.analysis.retransmission,udp.stream,udp.srcport,udp.dstport,udp.length,dns.id,dns.flags.response,dns.qry.name,dns.qry.type,dns.a,dns.aaaa,tls.record.content_type,tls.record.opaque_type,tls.handshake.type,tls.handshake.extensions_server_name,tls.handshake.extensions_alpn_str,http.request.method,http.host,http.request.uri,http.response.code,http.content_type,quic.version,_ws.expert.message,_ws.col.info
"178","1700000177.277000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"179","1700000178.278000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"180","1700000179.279000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"59","40180","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40180 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"181","1700000180.280000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"182","1700000181.281000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"183","1700000182.282000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"60","40183","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40183 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"184","1700000183.283000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"185","1700000184.284000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"186","1700000185.285000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"61","40186","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40186 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"187","1700000186.286000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"188","1700000187.287000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"189","1700000188.288000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"62","40189","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40189 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"190","1700000189.289000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"191","1700000190.290000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"192","1700000191.291000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"63","40192","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40192 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"193","1700000192.292000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"194","1700000193.293000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"195","1700000194.294000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"64","40195","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40195 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"196","1700000195.295000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"197","1700000196.296000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"198","1700000197.297000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"65","40198","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40198 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"199","1700000198.298000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"200","1700000199.299000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"201","1700000200.300000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"66","40201","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40201 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"202","1700000201.301000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"203","1700000202.302000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"204","1700000203.303000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"67","40204","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40204 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"205","1700000204.304000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"206","1700000205.305000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"207","1700000206.306000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"68","40207","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40207 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"208","1700000207.307000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"209","1700000208.308000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"210","1700000209.309000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"69","40210","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40210 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"211","1700000210.310000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"212","1700000211.311000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"213","1700000212.312000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"70","40213","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40213 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"214","1700000213.313000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"215","1700000214.314000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"216","1700000215.315000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"71","40216","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40216 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"217","1700000216.316000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"218","1700000217.317000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"219","1700000218.318000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"72","40219","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40219 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"220","1700000219.319000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"221","1700000220.320000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"222","1700000221.321000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"73","40222","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40222 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"223","1700000222.322000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"224","1700000223.323000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"225","1700000224.324000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"74","40225","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40225 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"226","1700000225.325000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"227","1700000226.326000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"228","1700000227.327000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"75","40228","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40228 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"229","1700000228.328000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"230","1700000229.329000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"231","1700000230.330000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"76","40231","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40231 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"232","1700000231.331000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"233","1700000232.332000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"234","1700000233.333000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"77","40234","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40234 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"235","1700000234.334000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"236","1700000235.335000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"237","1700000236.336000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"78","40237","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40237 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"238","1700000237.337000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"239","1700000238.338000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"240","1700000239.339000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"79","40240","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40240 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"241","1700000240.340000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"242","1700000241.341000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"243","1700000242.342000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"80","40243","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40243 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"244","1700000243.343000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"245","1700000244.344000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"246","1700000245.345000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"81","40246","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40246 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"247","1700000246.346000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"248","1700000247.347000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"249","1700000248.348000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"82","40249","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40249 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"250","1700000249.349000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"251","1700000250.350000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"252","1700000251.351000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"83","40252","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40252 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"253","1700000252.352000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"254","1700000253.353000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"255","1700000254.354000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"84","40255","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40255 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"256","1700000255.355000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"257","1700000256.356000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"258","1700000257.357000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"85","40258","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40258 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"259","1700000258.358000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"260","1700000259.359000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"261","1700000260.360000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"86","40261","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40261 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"262","1700000261.361000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"263","1700000262.362000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"264","1700000263.363000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"87","40264","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40264 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"265","1700000264.364000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"266","1700000265.365000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"267","1700000266.366000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"88","40267","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40267 → 49152 [SYN] Seq=0 Win=65535 Len=0"
